start,end,duration,speaker,language,text,confidence
0.0,2.0,2.0,SPEAKER_00,de,"Hi, Michael.",0.3236
2.0,4.0,2.0,SPEAKER_00,de,"Hi, everyone.",0.3236
4.0,6.0,2.0,SPEAKER_00,de,How are you doing?,0.3236
6.0,8.0,2.0,SPEAKER_00,de,So far so good.,0.3236
8.0,10.0,2.0,SPEAKER_01,de,We are waiting for you.,0.3236
10.0,12.0,2.0,SPEAKER_01,de,I'm here.,0.3236
12.0,14.0,2.0,SPEAKER_01,de,That's true.,0.3236
14.0,16.0,2.0,SPEAKER_01,de,How's Michael?,0.3236
16.0,18.0,2.0,SPEAKER_00,de,"Hi, Michael.",0.3236
18.0,20.0,2.0,SPEAKER_00,de,"Hi, Michael.",0.3236
20.0,22.0,2.0,SPEAKER_02,de,"Hi, Michael.",0.3236
22.0,24.0,2.0,SPEAKER_02,de,"Hi, Michael.",0.3236
24.0,26.0,2.0,SPEAKER_02,de,"Hi, Michael.",0.3236
26.0,28.0,2.0,SPEAKER_02,de,"Hi, Michael.",0.3236
28.0,30.0,2.0,SPEAKER_02,de,"Hi, может.",0.2317
30.0,32.0,2.0,SPEAKER_02,de,"Hi, Michael.",0.2317
32.0,34.0,2.0,SPEAKER_01,de,"Hi, Sage.",0.2317
34.0,36.0,2.0,SPEAKER_01,de,Hi.,0.2317
36.0,37.0,1.0,SPEAKER_01,de,Nice to see you.,0.2317
37.0,39.0,2.0,SPEAKER_01,de,Thank you.,0.2317
39.0,41.0,2.0,SPEAKER_01,de,And I'm glad to see you all.,0.2317
41.0,48.0,7.0,SPEAKER_01,de,"Because I already, I don't know if I've told you, I already had dreams that I'm at work.",0.2317
48.0,54.0,6.0,SPEAKER_01,de,And how everyone meets me and do like this.,0.2317
54.0,57.0,3.0,SPEAKER_01,de,And I say again.,0.2317
57.0,85.03999999999999,28.04,SPEAKER_02,de,und ich habe dieses Dream mixerrils halber,0.0004
85.04,88.04,3.0,SPEAKER_02,de,Soll ich das schälen?,0.1782
88.04,90.04,2.0,SPEAKER_02,de,Ich werde... ja...,0.1782
90.04,92.04,2.0,SPEAKER_03,de,"Ups, zu lecker.",0.1782
92.04,95.04,3.0,SPEAKER_03,de,"Die Wahl für die, die sie erst schärft.",0.1782
97.04,100.04,3.0,SPEAKER_04,de,"Sag ich, ich mag, dass du in der Office bist,",0.1782
100.04,102.04,2.0,SPEAKER_04,de,ohne dass du in der Office bist.,0.1782
107.04,109.04,2.0,SPEAKER_02,de,"Okay, so.",0.1782
109.04,114.04,5.0,SPEAKER_05,de,"Ja, also, ich habe nur einen Ziel.",0.1782
114.04,117.04,3.0,SPEAKER_05,de,Ich habe nur einen Ziel für heute und morgen.,0.1445
117.04,120.04,3.0,SPEAKER_05,de,Ich muss noch ein paar Marketerformen machen.,0.1445
120.04,124.04,4.0,SPEAKER_05,de,"Ich muss noch die Sales-Bot machen,",0.1445
124.04,127.04,3.0,SPEAKER_05,de,aber es ist schon 99% fertig.,0.1445
127.04,130.04000000000002,3.0,SPEAKER_05,de,Es wird schon fertig.,0.1445
130.04000000000002,133.04000000000002,3.0,SPEAKER_05,de,Ich werde es noch nicht machen.,0.1445
133.04000000000002,136.04000000000002,3.0,SPEAKER_05,de,Ich werde es noch nicht machen.,0.1445
136.04000000000002,139.04000000000002,3.0,SPEAKER_05,de,Ich werde es noch nicht machen.,0.1445
139.04000000000002,142.04000000000002,3.0,SPEAKER_05,de,Ich werde es noch nicht machen.,0.1445
142.04,146.04,4.0,SPEAKER_05,de,Es wird bis morgen fertig.,0.2213
146.04,148.04,2.0,SPEAKER_05,de,Ja.,0.2213
151.04,154.04,3.0,SPEAKER_06,de,"Du kannst Deutsch schliessen, natürlich.",0.2213
154.04,156.04,2.0,SPEAKER_06,de,Wie es usual ist.,0.2213
156.04,158.04,2.0,SPEAKER_05,de,Das ist gut.,0.2213
158.04,160.04,2.0,SPEAKER_05,de,Leo?,0.2213
160.04,162.04,2.0,SPEAKER_05,de,"Ja, ich sehe.",0.2213
163.04,164.04,1.0,SPEAKER_03,de,Warum Leo?,0.2213
164.04,166.04,2.0,SPEAKER_03,de,Don't miss me.,0.2213
166.04,168.04,2.0,SPEAKER_03,de,I'm back again.,0.2213
168.04,171.04,3.0,SPEAKER_03,de,Wir gehen von unten nach oben.,0.2213
171.04,173.04,2.0,SPEAKER_03,de,"Okay, dann ist Leo.",0.3274
173.04,175.04,2.0,SPEAKER_07,de,Okay.,0.3274
