start,end,duration,speaker,language,text,confidence
0.0,10.44,10.44,SPEAKER_00,de,Hallo!,0.0025
10.44,12.44,2.0,SPEAKER_00,de,Hi.,0.2214
30.439999999999998,31.439999999999998,1.0,SPEAKER_00,de,Hi.,0.2214
31.439999999999998,33.44,2.0,SPEAKER_00,de,"Hi, Sajin.",0.2214
34.44,36.44,2.0,SPEAKER_01,de,Dominik ist in der Meeting.,0.2023
36.44,41.44,5.0,SPEAKER_01,de,Er kommt wahrscheinlich nach der Meeting.,0.2023
44.44,46.44,2.0,SPEAKER_01,de,Das ist ein Prisma.,0.2023
50.44,51.44,1.0,SPEAKER_00,de,Okay.,0.2023
51.44,52.44,1.0,SPEAKER_00,de,Ja.,0.2023
52.44,55.44,3.0,SPEAKER_01,de,"Wie geht es dir, Serge?",0.2023
56.44,58.44,2.0,SPEAKER_02,de,Ich bin eigentlich okay.,0.1761
58.44,61.44,3.0,SPEAKER_02,de,Ich habe meine Void schon gebraucht.,0.1761
61.44,64.44,3.0,SPEAKER_02,de,Ich habe die Sessionen schon gebraucht.,0.1761
64.44,67.44,3.0,SPEAKER_02,de,Aber es sollte besser werden.,0.1761
67.44,71.44,4.0,SPEAKER_00,de,"Es sollte, dass ich meine Sessionen komplett completen werde.",0.1761
74.44,77.44,3.0,SPEAKER_01,de,Das ist gut zu hören.,0.1761
77.44,80.44,3.0,SPEAKER_01,de,Ich kann nicht für dich hier sein.,0.1761
80.44,83.44,3.0,SPEAKER_02,de,"Ich denke, es ist ...",0.1761
85.44,89.44,4.0,SPEAKER_02,de,Nächste Woche habe ich drei Sessionen.,0.211
89.44,92.44,3.0,SPEAKER_02,de,"Ich denke, dass ich nach der nächsten Woche wiederkommen werde.",0.211
92.44,93.44,1.0,SPEAKER_03,de,Hallo.,0.211
93.44,95.44,2.0,SPEAKER_01,de,Ich komme zu dir.,0.211
95.44,96.44,1.0,SPEAKER_01,de,Hi.,0.211
97.44,98.44,1.0,SPEAKER_03,de,"Hi, Dominik.",0.211
98.44,99.44,1.0,SPEAKER_03,de,Wie fühlst du dich?,0.211
99.44,100.44,1.0,SPEAKER_01,de,Great.,0.211
100.44,102.44,2.0,SPEAKER_03,de,"Es ist besonders, dass ich es heute Abend habe.",0.211
102.44,103.44,1.0,SPEAKER_00,de,Ja.,0.211
105.44,107.44,2.0,SPEAKER_03,de,Selbst wenn du verletzt bist.,0.211
109.44,110.44,1.0,SPEAKER_03,de,Keine Ahnung.,0.211
110.44,112.44,2.0,SPEAKER_03,de,Es war ein bisschen ein Schreit.,0.211
112.44,113.44,1.0,SPEAKER_03,de,Ich habe keine Ahnung.,0.211
114.44,117.44,3.0,SPEAKER_03,de,Ichiversity hatte es.,0.0002
117.44,119.44,2.0,SPEAKER_03,de,Jetzt kann man euch adden.,0.0002
120.44,122.44,2.0,SPEAKER_03,de,Fernsehen recht.,0.0002
125.44,129.44,4.0,SPEAKER_04,de,Fort Deutschland hat shorts und Corners noch ein bisschen frei.,0.0002
131.44,134.44,3.0,SPEAKER_04,de,Sie kein Sturm Strom rückte seit Jahren?,0.0002
134.44,136.44,2.0,SPEAKER_04,de,"Heute ist sie 16 oder 18,",0.0002
137.44,142.42,4.98,SPEAKER_04,de,durch die,0.0002
142.42,149.92,7.5,SPEAKER_04,de,"Wenn du das mal mehrmals twice times machen, dann fällst du die Sache und bekommst ein paar Injury.",0.1249
149.92,156.01999999999998,6.1,SPEAKER_04,de,"Und Seki war so, was er mir gesagt hat, ich weiß nicht, ich verstehe nur Englisch.",0.1249
156.01999999999998,158.01999999999998,2.0,SPEAKER_04,de,Und das war eine sehr gute Phase.,0.1249
158.01999999999998,163.01999999999998,5.0,SPEAKER_04,de,"Und halb Stunden später, Seki lag auf der Erde.",0.1249
165.51999999999998,170.51999999999998,5.0,SPEAKER_04,de,Aber es war toll und Seki hat nichts zu hören. Das ist perfekt.,0.1249
171.12,173.62,2.5,SPEAKER_02,de,Ich bin auf der Erde.,0.1626
