start,end,duration,speaker,language,text,confidence
30.0,31.0,1.0,SPEAKER_00,de,Moin.,0.1265
31.0,32.0,1.0,SPEAKER_00,de,Moin.,0.1265
32.0,37.0,5.0,SPEAKER_00,de,Du bist heute schon da.,0.1265
37.0,38.0,1.0,SPEAKER_00,de,In Meeting.,0.1265
38.0,41.0,3.0,SPEAKER_00,de,Sally war vor mir.,0.1265
41.0,45.0,4.0,SPEAKER_00,de,Also Sally wollte vor mir.,0.1265
45.0,47.0,2.0,SPEAKER_00,de,"Okay, Fabian.",0.1265
47.0,50.0,3.0,SPEAKER_00,de,Ich bin jetzt mit Tobi.,0.1265
50.0,53.0,3.0,SPEAKER_00,de,"Fabian sagt, wir sollen anfangen.",0.3428
53.0,55.0,2.0,SPEAKER_00,de,Der ist immer noch im Meeting.,0.3428
55.0,57.0,2.0,SPEAKER_01,de,Aber wir sind ja nur zu zweit.,0.3428
57.0,59.0,2.0,SPEAKER_01,de,Wo ist der Rest?,0.3428
59.0,61.0,2.0,SPEAKER_01,de,Ich weiß es nicht.,0.3428
61.0,63.0,2.0,SPEAKER_02,de,Die kommen wahrscheinlich.,0.3428
63.0,65.0,2.0,SPEAKER_02,de,Genau.,0.3428
65.0,67.0,2.0,SPEAKER_02,de,Ich weiß es nicht.,0.3428
67.0,69.0,2.0,SPEAKER_02,de,Ich weiß es nicht.,0.3428
69.0,71.0,2.0,SPEAKER_02,de,Ich weiß es nicht.,0.3428
71.0,73.0,2.0,SPEAKER_02,de,Ich weiß es nicht.,0.3428
73.0,75.0,2.0,SPEAKER_00,de,Ich weiß es nicht.,0.3428
75.0,77.0,2.0,SPEAKER_00,de,Ich weiß es nicht.,0.3428
78.0,84.0,6.0,SPEAKER_00,de,Dann lese dann.,0.0082
84.0,85.0,1.0,SPEAKER_00,de,Lässt da.,0.2424
99.52,100.52,1.0,SPEAKER_00,de,Genau.,0.2424
101.08,102.08,1.0,SPEAKER_00,de,"Hallo, Leo.",0.2424
102.8,103.8,1.0,SPEAKER_00,de,Hallo Christian.,0.2424
107.6,109.4,1.8,SPEAKER_00,de,Dann teile ich mir ein Bildchen.,0.2424
110.16,112.92,2.76,SPEAKER_03,de,"So, hallo meine Lieben, ich war noch im anderen Meeting.",0.2424
114.84,115.84,1.0,SPEAKER_00,de,Eieieiei.,0.2577
118.44,120.44,2.0,SPEAKER_01,de,"Aber tröstig, so geht's mir auch gleich.",0.2577
121.32,122.32,1.0,SPEAKER_01,de,Alles gut.,0.2577
122.44,124.96000000000001,2.52,SPEAKER_01,de,Statt Lichtblick gehe ich gleich bei Artrex und Staley,0.2577
125.08,127.24,2.16,SPEAKER_01,de,"und ich hoffe, dass ich bis Mittag fertig bin.",0.2577
130.96,131.96,1.0,SPEAKER_02,de,"Ja, ich will.",0.2577
132.4,135.0,2.6,SPEAKER_02,de,"Genau, Fabi kommt ein bisschen später.",0.2577
135.12,138.6,3.48,SPEAKER_02,de,"Roy ist auch da, wahrscheinlich wollte er den Kaffee oder irgendwas.",0.2577
139.72,140.72,1.0,SPEAKER_01,de,"Ja, wir retten.",0.2577
140.72,145.2,4.48,SPEAKER_01,de,Was ist mit Denki?,0.2195
146.32,150.32,4.0,SPEAKER_03,de,"Der ist leider heute noch im Ausfall wegen seiner Stimme,",0.2195
150.44,152.44,2.0,SPEAKER_03,de,der muss ihn ein bisschen schrohen.,0.2195
153.48,154.48,1.0,SPEAKER_01,de,Okay.,0.2195
156.07999999999998,158.07999999999998,2.0,SPEAKER_01,de,Maria ist noch nicht da.,0.2195
158.56,160.07999999999998,1.52,SPEAKER_03,de,Maria ist noch nicht da.,0.2195
160.48,162.48,2.0,SPEAKER_03,de,Ich sehe heute gerade laufen.,0.2195
164.48,165.88,1.4,SPEAKER_03,de,Wir können schon anfangen.,0.2195
166.28,167.88,1.6,SPEAKER_02,de,"Perfekt, dann Leo.",0.2195
168.51999999999998,169.51999999999998,1.0,SPEAKER_02,de,Du musst gerne anfangen.,0.2204
170.0,172.0,2.0,SPEAKER_02,de,"Ja, meine Ex-Leiter, da holte ich nicht da.",0.2204
173.4,174.4,1.0,SPEAKER_02,de,Du bist wieder der erst.,0.2204
174.51999999999998,178.04,3.52,SPEAKER_04,de,"Ergän, wieder ungewohnt, wieder anzufangen.",0.2204
178.96,180.96,2.0,SPEAKER_04,de,"Naja, ich fang an.",0.2204
181.07999999999998,183.48,2.4,SPEAKER_04,de,"Amis Softlet, der war bei Prover My Skills every week.",0.2204
184.56,187.6,3.04,SPEAKER_04,de,"Was ich diese Woche vorhab, bei FST drei Tasks",0.2204
187.72,189.72,2.0,SPEAKER_04,de,und ready for the test zu setzen.,0.2204
190.32,192.32,2.0,SPEAKER_04,de,Mit dem CIG geht es dann einfach mal weiter.,0.2204
192.44,194.44,2.0,SPEAKER_04,de,Hat letzte Woche gut geklappt.,0.2204
194.56,196.96,2.4,SPEAKER_04,de,"Und zusätzlich halt noch ein Tasks,",0.2204
197.04000000000002,199.04000000000002,2.0,SPEAKER_04,de,"das gerade schon getestet worden ist,",0.2936
199.16,201.16,2.0,SPEAKER_04,de,"aber da noch ein paar Sachen, die geändert werden müssen.",0.2936
201.76000000000002,204.96,3.2,SPEAKER_04,de,"Den will ich auch dann auf ready for court review setzen,",0.2936
205.08,208.08,3.0,SPEAKER_04,de,dass da alles durchpasst und dass wir das dann halt live schalten können.,0.2936
208.20000000000002,211.20000000000002,3.0,SPEAKER_04,de,"Das wäre bei FST, was ich vorher halt hätte.",0.2936
211.84,216.68,4.84,SPEAKER_04,de,"Bei Pell 900 habe ich mir im Blog gesetzt, 18 Lessons.",0.2936
216.8,220.32,3.52,SPEAKER_04,de,"Für bei dem nächsten Section durchzumachen,",0.2936
220.44,225.12,4.68,SPEAKER_04,de,"heißt einfach so drei, vier Lessons pro Tag.",0.2936
225.12,228.8,3.68,SPEAKER_04,de,"Einfach mal durchzurattern, durchzutesten.",0.2911
228.92000000000002,232.4,3.48,SPEAKER_04,de,Und das wäre es für mich diese Woche.,0.2911
232.52,234.52,2.0,SPEAKER_04,de,Ich gebe weiter an Christian.,0.2911
236.52,238.52,2.0,SPEAKER_01,de,"Ja, danke dir.",0.2911
238.64000000000001,241.64000000000001,3.0,SPEAKER_01,de,"I'm a fine art software developer, striving for perfection.",0.2911
