start,end,duration,speaker,language,text,confidence
0.0,2.0,2.0,SPEAKER_00,de,9.,0.1464
2.0,4.0,2.0,SPEAKER_00,de,20.,0.1464
4.0,6.0,2.0,SPEAKER_00,de,Das ist eine Party hinter dir.,0.1464
7.0,9.0,2.0,SPEAKER_00,de,9.,0.3828
9.0,11.0,2.0,SPEAKER_00,de,20.,0.3828
11.0,14.0,3.0,SPEAKER_00,de,Das ist eine Party hinter dir.,0.3828
14.0,16.0,2.0,SPEAKER_00,de,10.,0.1838
16.0,42.46,26.46,SPEAKER_00,de,Das ist ein,0.1838
42.46,44.46,2.0,SPEAKER_01,de,Räder.,0.2396
44.46,46.46,2.0,SPEAKER_02,de,10.,0.2396
46.46,48.46,2.0,SPEAKER_02,de,Das ist ein Vollzählick.,0.2396
48.46,50.46,2.0,SPEAKER_02,de,Ich schließe mal die Tür.,0.2396
50.46,52.46,2.0,SPEAKER_02,de,Das ist ein Leihshauch am Start.,0.2396
52.46,54.46,2.0,SPEAKER_02,de,So können wir beginnen.,0.2396
54.46,56.46,2.0,SPEAKER_02,de,Gebe ich gleich meinen Redeball weiter?,0.2396
56.46,58.46,2.0,SPEAKER_02,de,Ich nehme den Redeball an.,0.2396
58.46,60.46,2.0,SPEAKER_02,de,Ich starte.,0.2396
60.46,62.46,2.0,SPEAKER_01,de,"Diese Woche hatte ich vor,",0.2396
62.46,64.46000000000001,2.0,SPEAKER_01,de,ich habe den Räder in der Mitte.,0.2396
64.46000000000001,66.46000000000001,2.0,SPEAKER_03,de,Ich habe den Räder in der Mitte.,0.2396
66.46000000000001,68.46000000000001,2.0,SPEAKER_03,de,Ich habe den Räder in der Mitte.,0.2396
68.46000000000001,70.46000000000001,2.0,SPEAKER_03,de,Ich habe den Räder in der Mitte.,0.2396
70.46,78.46,8.0,SPEAKER_03,de,"Ich habe den Räder bei dessert,",0.0017
78.46,85.46,7.0,SPEAKER_03,de,"von RTXлоfim und Highlighttherapie,",0.0017
85.46,90.46,5.0,SPEAKER_03,de,und dieser Woche hatte ich vor gehabtre Renditions.,0.0017
90.46,94.46,4.0,SPEAKER_03,de,"Ich habe ech wenigstens die kingsten Eslend-Guardlines,",0.0017
94.46,99.46,5.0,SPEAKER_03,de,"weisen die Konzerte,",0.0017
99.46,104.46,5.0,SPEAKER_03,de,"Ich denke auch, Bukit war im Urlaub, also so sieht es halt vom Team aus her aus.",0.318
104.46,109.46,5.0,SPEAKER_03,de,"Deswegen kam da jetzt nichts, aber vom Field Service kamen ein, zwei Sachen.",0.318
109.46,111.46,2.0,SPEAKER_03,de,Da sind die Änderungen auch schon depleit.,0.318
111.46,124.46,13.0,SPEAKER_03,de,"Und bei SellykuBS, da ging es halt einfach darum, dass ich nochmal mit dem Herr den Nachnamen weiß ich nicht mehr, den Haken.",0.318
124.46,130.45999999999998,6.0,SPEAKER_03,de,"Da ist ich da mit ihm nochmal rede wegen dem Flow, ob da auch neue Anpassungswünsche kommen.",0.4165
130.45999999999998,136.45999999999998,6.0,SPEAKER_03,de,"Die sind gekommen, da habe ich jetzt hingeschrieben 50-50-Donn.",0.4165
136.45999999999998,139.45999999999998,3.0,SPEAKER_03,de,"Da gab es noch eine Änderung, die ich noch nicht geschafft habe.",0.4165
139.45999999999998,148.45999999999998,9.0,SPEAKER_03,de,"Da halt noch ein Issue kam, also der hat im Flow noch Einträge im Archiv mitgenommen.",0.4165
148.45999999999998,153.45999999999998,5.0,SPEAKER_03,de,"Da hat er die ganzen Kommentare noch hinzugefügt, was problematisch ist.",0.4165
153.46,156.46,3.0,SPEAKER_03,de,Dieses Problem habe ich von meinen Testungen aus.,0.4095
156.46,160.46,4.0,SPEAKER_03,de,Also ich habe es nicht mit seinem Trello gearbeitet.,0.4095
160.46,167.46,7.0,SPEAKER_03,de,"Also mit meinem eigenen Trello, da habe ich von meinen Testungen aus schon mal den Flow halt überarbeitet, habe das angepasst.",0.4095
167.46,169.46,2.0,SPEAKER_03,de,Da funktioniert es.,0.4095
169.46,177.46,8.0,SPEAKER_03,de,"Jetzt geht es darum, dass ich nochmal mit ihm nächste Woche dann spreche und dann wieder den Flow aktiviere, wenn das okay ist.",0.4095
177.46,182.46,5.0,SPEAKER_03,de,"Dann hatte ich noch den Block, ja, für 900.",0.4095
182.46,185.46,3.0,SPEAKER_03,de,Da habe ich seit dieser Woche angefangen.,0.4132
185.46,196.46,11.0,SPEAKER_03,de,"Da habe ich den ersten Modul fast durch, aber den habe ich auch schon damals durch gehabt, weil ich angefangen hatte für PL200 zu lernen.",0.4132
196.46,199.46,3.0,SPEAKER_03,de,"Aber da muss ich die Sachen einfach nochmal auffrischen, nochmal durchgehen.",0.4132
199.46,207.46,8.0,SPEAKER_03,de,"Und da fehlen mir jetzt noch zwei Lernanheiten, das werde ich dann auch noch fertig stellen.",0.4132
207.46,209.46,2.0,SPEAKER_03,de,Warum ich diese Woche der Beste bin?,0.4132
209.46,215.46,6.0,SPEAKER_03,de,"Ich finde, meine Kommunikation mit Harkan diese Woche war auch sehr gut wegen Trello.",0.4287
215.46,219.46,4.0,SPEAKER_03,de,Auch da kann ich noch selbstbewusster sein.,0.4287
219.46,224.46,5.0,SPEAKER_03,de,"Da habe ich auch ein kleines Feedback dazu bekommen, von Fabian.",0.4287
224.46,235.46,11.0,SPEAKER_03,de,"Aber auch da, wie ich dann auch mit dem Problem umgegangen bin, ich habe auch schnell gesehen, dass immer schief halt eben noch ein paar Einzelheiten sind,",0.4287
235.46,238.46,3.0,SPEAKER_03,de,die ich dann eben vorausfiltern kann.,0.4031
238.46,240.46,2.0,SPEAKER_03,de,Und das Problem habe ich halt selbst herausgefunden.,0.4031
240.46,248.46,8.0,SPEAKER_03,de,"Und da finde ich, dass ich da auch einen großen Step gemacht habe, in Sachen von Problemfindungen und daraus eine Lösung zu finden.",0.4031
248.46,251.46,3.0,SPEAKER_03,de,"Das finde ich gut, das habe ich gut gemacht.",0.4031
251.46,261.46000000000004,10.0,SPEAKER_03,de,"Privattraining weiter durchgezogen, Gym durchgezogen.",0.4031
261.46,266.46,5.0,SPEAKER_03,de,"Fußball jetzt erstmal komplett pausiert, weil meine Verletzung ein bisschen schlimmer geworden ist.",0.399
266.46,276.46,10.0,SPEAKER_03,de,"Aber auch da werde ich nächste Woche jetzt beim Sportmediziner persönlich erscheinen, um Terminen ausmachen zu können, weil das Telefon nicht nicht ging.",0.399
276.46,281.46,5.0,SPEAKER_03,de,Jetzt bin ich durch. Ich gebe heute an Blagoja.,0.399
281.46,283.46,2.0,SPEAKER_04,de,Danke schön.,0.399
283.46,290.46,7.0,SPEAKER_04,de,"Also bei FP, ich habe zwei Backtickets gefixt und gemacht.",0.3841
290.46,297.46,7.0,SPEAKER_04,de,"Dort gibt es noch ein paar Themen, die ich für die nächste Woche fertigstellen.",0.3841
297.46,304.46,7.0,SPEAKER_04,de,"Also die zwei Backtickets, die ich habe erledigt, die sind bei Kunden schon um Testen.",0.3841
304.46,309.46,5.0,SPEAKER_04,de,"Die müssen das einfach durchtesten und dann schauen, ob etwas kommt zurück oder nicht.",0.3841
309.46,315.46,6.0,SPEAKER_04,de,"Und bei Lichtblick, ich hatte ein Backticket fertiggestellt.",0.3871
315.46,321.46,6.0,SPEAKER_04,de,Und auch ich habe den Bacon mit Testen geholfen diese ganze Woche.,0.3871
321.46,334.46,13.0,SPEAKER_04,de,"Und ja, warum bin ich die Beste dieser Woche, weil ich war echt hilfreich bei Lichtblick mit dem Testen von Bacon.",0.3871
334.46,342.46,8.0,SPEAKER_04,de,Also mehr Sessions gehabt mit Pedro und Mitra.,0.2853
342.46,351.46,9.0,SPEAKER_04,de,"Und die zweite Grund ist, dass ich einen Gurgerums-Boerkunde bekommen.",0.2853
351.46,354.46,3.0,SPEAKER_04,de,Und ja.,0.2853
354.46,357.46,3.0,SPEAKER_05,de,Was ist das?,0.2853
357.46,360.46,3.0,SPEAKER_04,de,German citizenship.,0.2853
360.46,362.46,2.0,SPEAKER_04,de,Nice.,0.3761
362.46,364.46,2.0,SPEAKER_05,de,Congratulations.,0.3761
364.46,366.46,2.0,SPEAKER_04,de,Thank you.,0.3761
366.46,368.46,2.0,SPEAKER_04,de,Und ich gebe weiter ansatz.,0.3761
368.46,371.46,3.0,SPEAKER_05,de,Danke dir.,0.3761
371.46,375.46,4.0,SPEAKER_05,de,"Genau, was ich diese Woche vorhatte.",0.3761
375.46,377.46,2.0,SPEAKER_05,de,Erstmal bei Lichtblick.,0.3761
377.46,384.46,7.0,SPEAKER_05,de,"Die Themen, die bei mir auf waren, hatte ich vor, die einfach zu erledigen.",0.3761
384.46,397.46,13.0,SPEAKER_05,de,"Aber das war halt nicht möglich, weil der Po und Anja, Process Managerin, die waren also, der Jens war krank seit zwei Wochen.",0.4021
397.46,399.46,2.0,SPEAKER_05,de,Und Anja war im Urlaub.,0.4021
399.46,411.46,12.0,SPEAKER_05,de,"Deswegen könnte ich die Bestätigungs- und die faktische Fragen, die ich hatte, einfach nicht geantwortet bekommen.",0.4021
411.46,416.46,5.0,SPEAKER_05,de,Und deswegen habe ich die Themen einfach auch in Holt gelassen.,0.377
416.46,423.46,7.0,SPEAKER_05,de,Und die Backtickets und alle Support-Themen habe ich durchgenommen und erledigt.,0.377
423.46,427.46,4.0,SPEAKER_05,de,"Genau, außerdem habe ich auch der E-Mail-Form.",0.3965
427.46,429.46,2.0,SPEAKER_05,de,Habe ich auch ganz optimiert.,0.3965
429.46,440.46,11.0,SPEAKER_05,de,"Und das heißt jetzt, diese Arbeitsplats bei der E-Mail-Formular ist auch richtig gut geworden.",0.3965
440.46,444.46,4.0,SPEAKER_05,de,Und das wird mit dem nächsten Deployment live gehen.,0.3965
445.46,455.46,10.0,SPEAKER_05,de,"Genau, bei PIN hatte ich vor dieser Woche die Themen, die wir seit drei Wochen entwickelt haben, live zu nehmen.",0.4367
455.46,457.46,2.0,SPEAKER_05,de,Das habe ich gemacht.,0.4367
457.46,464.46,7.0,SPEAKER_05,de,"Und dafür haben wir auch einen großen Lob bekommen von Anja, dass alles sauber läuft.",0.4367
465.46,466.46,1.0,SPEAKER_05,de,"Ja, danke.",0.3533
466.46,474.46,8.0,SPEAKER_05,de,"Obwohl sie mir einen Back gefunden hat, das habe ich auch sofort gefixt heute Nachtmittag.",0.3533
474.46,475.46,1.0,SPEAKER_05,de,"Aber ja, schon gut.",0.3533
475.46,477.46,2.0,SPEAKER_05,de,Was war das für ein Back?,0.3533
477.46,479.46,2.0,SPEAKER_05,de,Das war ein Managed-Lehrer.,0.3533
479.46,487.46,8.0,SPEAKER_05,de,"Also, sie hatte ein Problem bei E-Mails.",0.3533
487.46,490.46,3.0,SPEAKER_05,de,Und das haben wir schnell gefixt im Port.,0.3533
490.46,492.46,2.0,SPEAKER_05,de,Und nach dem Deployment gab es diese Leer.,0.3816
492.46,494.46,2.0,SPEAKER_05,de,Das war schon lange her.,0.3816
494.46,499.46,5.0,SPEAKER_05,de,"Genau, das war nicht für Learnings.",0.3816
499.46,500.46,1.0,SPEAKER_05,de,Auf jeden Fall.,0.3816
500.46,502.46,2.0,SPEAKER_05,de,"Aber ja, sie ist zufrieden.",0.3816
502.46,503.46,1.0,SPEAKER_05,de,Das ist wichtig.,0.3816
503.46,506.46,3.0,SPEAKER_05,de,Und wir machen weiter.,0.3816
