start,end,duration,speaker,language,text,confidence
0.0,6.0,6.0,SPEAKER_00,de,Wie ist mein ganz leicht schief?,0.2878
6.0,13.0,7.0,SPEAKER_00,de,Mein Fabi!,0.2878
13.0,15.0,2.0,SPEAKER_01,de,Hallo!,0.2878
15.0,19.0,4.0,SPEAKER_01,de,Wie ist die Stimme in einem Büro?,0.2878
19.0,23.0,4.0,SPEAKER_01,de,"Es ist nicht allzu voll, aber...",0.2878
23.0,29.0,6.0,SPEAKER_01,de,"Aber es ist natürlich nicht das Gleiche, weil du bist nicht da.",0.2878
29.0,32.0,3.0,SPEAKER_01,de,"Das ist das, was ich hören, wenn ich spasche.",0.3338
32.0,35.0,3.0,SPEAKER_01,de,"Oh Gott, seid ihr gerade noch auf die Kurve gekriegt, oder?",0.3338
35.0,39.0,4.0,SPEAKER_02,de,Im besten Kase wäre es genau das Gleiche auch ohne dich.,0.3338
39.0,41.0,2.0,SPEAKER_02,de,Damit wäre ich auch sehr zufrieden.,0.3338
41.0,45.0,4.0,SPEAKER_02,de,Das würde auch passen.,0.3338
45.0,49.0,4.0,SPEAKER_03,de,"Die Performance ist genau so, wie als wärst du da.",0.3338
49.0,56.0,7.0,SPEAKER_04,de,Sag mal so was.,0.3338
56.0,59.0,3.0,SPEAKER_04,de,Der Gerhard hat eine Session.,0.1689
59.0,62.0,3.0,SPEAKER_04,de,Er ist noch auf dem Vakation.,0.1689
62.0,67.0,5.0,SPEAKER_02,de,Vielleicht könntest du einen anderen auf die Session teilen.,0.1689
67.0,71.0,4.0,SPEAKER_02,de,Ich habe nur einen Screen und ich möchte dich sehen.,0.1689
71.0,75.0,4.0,SPEAKER_01,de,"Warte mal, können wir eine Sekunde...",0.1689
75.0,77.0,2.0,SPEAKER_01,de,"So, schon schon dazu?",0.1689
77.0,81.0,4.0,SPEAKER_01,de,"Ich habe die Ziele zu früh eingetragen,",0.1689
81.0,85.0,4.0,SPEAKER_01,de,und dann habe ich schon alles wieder zugemacht.,0.3482
85.0,90.0,5.0,SPEAKER_02,de,"Okay, dann würde ich sagen, Leo,",0.3482
90.0,94.0,4.0,SPEAKER_02,de,trägt noch die Zielereichung kurz ein.,0.3482
94.0,98.0,4.0,SPEAKER_02,de,Kannst du Freestyle?,0.3482
98.0,102.0,4.0,SPEAKER_05,de,"Ich kann Freestyle, ich kann während die Schreiber auch reden.",0.3482
102.0,104.0,2.0,SPEAKER_02,de,"Okay, das ist krass.",0.3482
104.0,106.0,2.0,SPEAKER_02,de,"Das ist ein Skill, der ist sehr wichtig.",0.3482
106.0,108.0,2.0,SPEAKER_02,de,Was geht es?,0.3482
108.0,114.0,6.0,SPEAKER_05,de,"FST, hast du was als Frequence-Logik.",0.3687
114.0,118.0,4.0,SPEAKER_05,de,"Da haben wir sehr große Fortschritte gemacht, auch dank Waldemar.",0.3687
118.0,123.0,5.0,SPEAKER_05,de,Da habe ich mit Businessport eingeholt und auch sehr viele neue Sachen gelernt.,0.3687
123.0,126.0,3.0,SPEAKER_05,de,"Der Grund, warum es nicht dann ist,",0.3687
126.0,131.0,5.0,SPEAKER_05,de,"ist, dass es das Schöne ist, wenn man mit mehreren Leuten in einem Repo arbeitet.",0.3687
131.0,135.0,4.0,SPEAKER_05,de,"Ich habe irgendein Rebase gemacht, was mir ein paar Sachen wieder zerschossen hat.",0.3687
135.0,138.0,3.0,SPEAKER_05,de,"Ich weiß nicht, wo genau das Problem ist.",0.3786
138.0,140.0,2.0,SPEAKER_05,de,Hat alles vorher funktioniert gehabt.,0.3786
140.0,145.0,5.0,SPEAKER_05,de,Jetzt bin ich gerade wieder am Rum testen und Debuggen.,0.3786
145.0,149.0,4.0,SPEAKER_05,de,"Ja, das ist aber auch nicht schlimm.",0.3786
149.0,150.0,1.0,SPEAKER_05,de,Das kriege ich heute noch fertig.,0.3786
150.0,153.0,3.0,SPEAKER_05,de,"Das muss ich heute fertig kriegen, weil das war auch ein Wunsch,",0.3786
153.0,156.0,3.0,SPEAKER_05,de,dass das noch in den Transport mitkommt.,0.3786
156.0,161.0,5.0,SPEAKER_05,de,"Weiteres, bei Contra...",0.3786
161.0,165.0,4.0,SPEAKER_05,de,Contra-Contra-Rate-Tingulation.,0.3601
165.0,167.0,2.0,SPEAKER_05,de,Der Development ist durch.,0.3601
167.0,170.0,3.0,SPEAKER_05,de,"Ich konnte das jetzt nicht wirklich testen,",0.3601
170.0,175.0,5.0,SPEAKER_05,de,"weil der Customer Service Request hatte, wo ich Prio gehabt habe.",0.3601
175.0,177.0,2.0,SPEAKER_05,de,Das sollte halt durchgehen.,0.3601
177.0,181.0,4.0,SPEAKER_05,de,"Dafür konnte ich aber die Opportunity-Tests testen,",0.3601
181.0,184.0,3.0,SPEAKER_05,de,die ich testen wollte.,0.3601
184.0,187.0,3.0,SPEAKER_05,de,Das habe ich mit Waldemar abgesprochen gehabt.,0.3601
187.0,189.0,2.0,SPEAKER_05,de,Da hat mir die Opportunity direkt freigegeben.,0.3601
189.0,192.0,3.0,SPEAKER_05,de,"Da gibt es noch ein, zwei Änderungen, die ich machen muss.",0.3332
192.0,196.0,4.0,SPEAKER_05,de,Aber in dem Zug sind die gerade im Lehrlauf.,0.3332
196.0,199.0,3.0,SPEAKER_05,de,"Dann durfte ich auch testen, hat funktioniert.",0.3332
199.0,203.0,4.0,SPEAKER_05,de,Es sind auch beim Kunden fürs Testen freigegeben.,0.3332
203.0,208.0,5.0,SPEAKER_05,de,"Und ZRPRs und Reviewer, Til Friday.",0.3332
208.0,214.0,6.0,SPEAKER_05,de,"Ich habe ein PR bestätigt, approved bekommen.",0.3332
215.0,220.0,5.0,SPEAKER_05,de,"Der Designer muss mir noch sagen, in welchen Sprint reinkommen soll.",0.3857
220.0,222.0,2.0,SPEAKER_05,de,"Objesslich wird es nicht mehr in diesen Sprint reinkommen,",0.3857
222.0,224.0,2.0,SPEAKER_05,de,weil sie mir noch nicht geantwortet hat.,0.3857
224.0,230.0,6.0,SPEAKER_05,de,Aber der zweite PR wäre vom Customer Service Request.,0.3857
230.0,234.0,4.0,SPEAKER_05,de,"Ich denke, das geht dann auch durch.",0.3857
234.0,236.0,2.0,SPEAKER_05,de,Der war auch schon approved.,0.3857
236.0,240.0,4.0,SPEAKER_05,de,"Aber nachdem ich nach dem approved noch mal getestet habe,",0.3857
240.0,242.0,2.0,SPEAKER_05,de,"um sicher zu sein, dass alles funktioniert,",0.3857
242.0,244.0,2.0,SPEAKER_05,de,sind dann die Fehler aufgetaucht.,0.3876
244.0,247.0,3.0,SPEAKER_05,de,"Yes, Pell 900.",0.3876
247.0,250.0,3.0,SPEAKER_05,de,Ich wollte die Station beenden.,0.3876
250.0,253.0,3.0,SPEAKER_05,de,"Die Station habe ich beendet, die 5,",0.3876
253.0,255.0,2.0,SPEAKER_05,de,"aber ich habe nicht weitere Videos gemacht,",0.3876
255.0,257.0,2.0,SPEAKER_05,de,"aufgrund von den TAS,",0.3876
257.0,261.0,4.0,SPEAKER_05,de,aufgrund der Dringlichkeit von Customer Service Request.,0.3876
261.0,265.0,4.0,SPEAKER_05,de,"Und ja, war wo ich der Beste bin.",0.3876
265.0,269.0,4.0,SPEAKER_05,de,"Ich habe vieles Neues gelernt, auch heute allgemein schon.",0.3876
269.0,275.0,6.0,SPEAKER_05,de,Ich habe mich mit Wallemar sehr viel unterhalten.,0.3927
275.0,277.0,2.0,SPEAKER_05,de,"Er hat mir auch neue Sachen bezieht,",0.3927
277.0,280.0,3.0,SPEAKER_05,de,was wir auch später mitbekommen werden gezeigt.,0.3927
280.0,285.0,5.0,SPEAKER_05,de,"Und was er noch vorhat, das ist sehr interessant.",0.3927
285.0,291.0,6.0,SPEAKER_05,de,"Seine Gedankengänge auch zuzuhören, wie er draufkommt.",0.3927
291.0,296.0,5.0,SPEAKER_05,de,"Auch wenn es so unter der Dusche ist, was er auch einmal vorgestellt hat.",0.3927
296.0,300.0,4.0,SPEAKER_05,de,"Das macht auch viel Spaß, hier zu arbeiten.",0.406
300.0,302.0,2.0,SPEAKER_05,de,Das ist richtig geil.,0.406
302.0,305.0,3.0,SPEAKER_05,de,Warum bin ich noch der Beste?,0.406
305.0,310.0,5.0,SPEAKER_05,de,"Ich bin noch der Beste, weil ich mein französisch Skill-Learning,",0.406
310.0,315.0,5.0,SPEAKER_05,de,"also die Sprache, ich komme da sehr gut voran.",0.406
315.0,318.0,3.0,SPEAKER_05,de,"Und warum ich noch der Beste bin,",0.406
318.0,321.0,3.0,SPEAKER_05,de,"ist, weil ich meine Trainings-Tage durchgezogen habe.",0.406
321.0,324.0,3.0,SPEAKER_05,de,"Ich gehe jetzt noch heute und morgen,",0.406
324.0,326.0,2.0,SPEAKER_05,de,dann bin ich diese Woche fünfmal gewesen,0.3387
326.0,329.0,3.0,SPEAKER_05,de,und habe mich auch am Dienstag liegen lassen.,0.3387
329.0,333.0,4.0,SPEAKER_05,de,"Ich habe gesehen, ich habe in einer Woche mehr als ein Kilo zugenommen.",0.3387
333.0,335.0,2.0,SPEAKER_05,de,"Ja, stark.",0.3387
335.0,340.0,5.0,SPEAKER_05,de,Das war es von einer Seite.,0.3387
340.0,343.0,3.0,SPEAKER_05,de,Ich gebe weiter an Dominik.,0.3387
343.0,345.0,2.0,SPEAKER_05,de,"Danke, die Elevator.",0.3387
345.0,347.0,2.0,SPEAKER_03,de,"Ja, für diese Woche bei TNI,",0.3387
347.0,351.0,4.0,SPEAKER_03,de,"wir haben klarstellen können, warum sie zu Eschers QL-Spitchen wollen,",0.3387
351.0,353.0,2.0,SPEAKER_03,de,"wann das dann stattfinden soll,",0.3762
353.0,356.0,3.0,SPEAKER_03,de,dass das noch in ferner Zukunft liegt,0.3762
356.0,361.0,5.0,SPEAKER_03,de,"und dass wir erst mal mit der Fallnet Integration weitergehen, wie gehabt.",0.3762
361.0,364.0,3.0,SPEAKER_03,de,"Wobei das dann jetzt auch noch mal Erklärung ist mit Waldemar,",0.3762
364.0,369.0,5.0,SPEAKER_03,de,"Natja und Philipp, weil da noch der Gap,",0.3762
