start,end,duration,speaker,language,text,confidence
0.0,3.0,3.0,SPEAKER_00,de,"Ja, erster.",0.1578
3.0,20.0,17.0,SPEAKER_00,de,"Guck mal so machen, ne?",0.1578
20.0,30.0,10.0,SPEAKER_01,de,"Hallo, Nothom.",0.1285
30.0,40.0,10.0,SPEAKER_01,de,"Hallo, Nothom.",0.1285
40.0,60.0,20.0,SPEAKER_03,de,"Hallo, ich zeig euch mein Screen.",0.2639
60.0,67.0,7.0,SPEAKER_03,de,"Leo, da ist er.",0.2639
67.0,70.0,3.0,SPEAKER_03,de,"Ich weiß doch nicht, wie wir es ansonsten anfangen sollten.",0.3209
70.0,73.0,3.0,SPEAKER_03,de,"Oh, ja.",0.3209
73.0,78.0,5.0,SPEAKER_03,de,Der ist schwierig dann.,0.3209
78.0,81.0,3.0,SPEAKER_03,de,"Ich hoffe, es passt von der Größe.",0.3209
81.0,84.0,3.0,SPEAKER_03,de,"Dann Leo, starte mal.",0.3209
84.0,87.0,3.0,SPEAKER_04,de,"Yes, also, FST.",0.3209
87.0,92.0,5.0,SPEAKER_04,de,"Finish Content Plugin, Transport Ready, ist noch in PR,",0.3209
92.0,95.0,3.0,SPEAKER_04,de,bzw. ist gestern Abend in PR gekommen.,0.3209
95.0,100.0,5.0,SPEAKER_04,de,"Ja, da gab es ja noch mehrere Probleme wegen dem Associate.",0.4072
100.0,105.0,5.0,SPEAKER_04,de,"Muss ich eine neue Lösung finden, wie wir das genau abbilden können.",0.4072
105.0,108.0,3.0,SPEAKER_04,de,"Dann habe ich es auch noch mal zurückbekommen,",0.4072
108.0,110.0,2.0,SPEAKER_04,de,habe ich eine andere Testungsarzt bekommen.,0.4072
110.0,112.0,2.0,SPEAKER_04,de,"Also, da hat es nicht einmal anders getestet",0.4072
112.0,114.0,2.0,SPEAKER_04,de,und da gab es dann auch noch mal Probleme.,0.4072
114.0,116.0,2.0,SPEAKER_04,de,"Auf jeden Fall da auch Props an Sie,",0.4072
116.0,119.0,3.0,SPEAKER_04,de,dass Sie es in verschiedenen Arten getestet hat.,0.4072
119.0,121.0,2.0,SPEAKER_04,de,Das fand ich auch sehr nice.,0.4072
121.0,124.0,3.0,SPEAKER_04,de,Dadurch konnte ich auch andere Fehler,0.3789
124.0,127.0,3.0,SPEAKER_04,de,bzw. falsche Angehensweisen korrigieren,0.3789
127.0,129.0,2.0,SPEAKER_04,de,und auch neues Lernen von Weilema.,0.3789
129.0,131.0,2.0,SPEAKER_04,de,Da will ich auch der beste.,0.3789
131.0,133.0,2.0,SPEAKER_04,de,Da hatte ich erst mal noch Mittwochabend,0.3789
133.0,135.0,2.0,SPEAKER_04,de,"und jetzt nur noch eine kleine Session mit ihm,",0.3789
135.0,138.0,3.0,SPEAKER_04,de,"bezüglich den neuen Standards,",0.3789
138.0,141.0,3.0,SPEAKER_04,de,"die wir letztens auch aufgenommen hatten,",0.3789
141.0,146.0,5.0,SPEAKER_04,de,"wie wir mit dem Selektor eben arbeiten,",0.3789
146.0,150.0,4.0,SPEAKER_04,de,"dass wir jetzt nicht mehr richtige Link-Rare machen,",0.3789
150.0,152.0,2.0,SPEAKER_04,de,sondern das mit den Methoden machen.,0.3979
152.0,156.0,4.0,SPEAKER_04,de,"Das war sehr hilfreich und sehr, sehr geil.",0.3979
156.0,159.0,3.0,SPEAKER_04,de,"Jetzt ist es halt noch im RR,",0.3979
159.0,162.0,3.0,SPEAKER_04,de,aber da werde ich auch noch heute es so weitgehend,0.3979
162.0,165.0,3.0,SPEAKER_04,de,wie möglich fertig bringen.,0.3979
165.0,168.0,3.0,SPEAKER_04,de,Get Roll assignments to the testing phase.,0.3979
168.0,170.0,2.0,SPEAKER_04,de,"Da konnte ich nicht weiterarbeiten,",0.3979
170.0,173.0,3.0,SPEAKER_04,de,"weil es noch geblockt war von Amalia, glaube ich.",0.3979
173.0,177.0,4.0,SPEAKER_04,de,"Kurze Knack, ich kann nicht daran weiterarbeiten.",0.3979
177.0,180.0,3.0,SPEAKER_04,de,Und one more task on the board.,0.3767
180.0,183.0,3.0,SPEAKER_04,de,"Wenn ich mal Freizeit, also was heißt Freizeit,",0.3767
183.0,186.0,3.0,SPEAKER_04,de,"wenn ich nicht gerade im Content Plaggen gearbeitet habe,",0.3767
186.0,189.0,3.0,SPEAKER_04,de,"habe ich mit einem anderen Plug-in angefangen, bei der Quote.",0.3767
189.0,193.0,4.0,SPEAKER_04,de,"Es ging halt einfach, dass ein Feld gefüllt werden soll,",0.3767
193.0,201.0,8.0,SPEAKER_04,de,"abhängig vom Account, was für eine Rolle der Account hat in der Quote.",0.3767
201.0,203.0,2.0,SPEAKER_04,de,Und damit habe ich schon angefangen,0.3767
203.0,206.0,3.0,SPEAKER_04,de,und möchte es nächste Woche dann auch fertig kriegen.,0.3767
206.0,209.0,3.0,SPEAKER_03,de,"Du weißt, wann du informiert wirst.",0.3527
209.0,211.0,2.0,SPEAKER_03,de,"Einen Plug-in, oder?",0.3527
211.0,214.0,3.0,SPEAKER_04,de,"Ja, genau, ich habe auch mit dir schon gesprochen.",0.3527
214.0,217.0,3.0,SPEAKER_03,de,"Weil du gesagt hast, glaubst du?",0.3527
217.0,220.0,3.0,SPEAKER_03,de,Glaubst du es oder weißt du es?,0.3527
220.0,222.0,2.0,SPEAKER_04,de,"Ich weiß es, gute Hinweise.",0.3527
222.0,225.0,3.0,SPEAKER_04,de,"Auch immer wieder habe ich informiert,",0.3527
225.0,229.0,4.0,SPEAKER_04,de,"wenn ich eigentlich benutze, oder auch immer.",0.3527
229.0,234.0,5.0,SPEAKER_04,de,"Sally, da wollte ich diese Woche Transcription,",0.3527
234.0,238.0,4.0,SPEAKER_04,de,"von Kunden, die bei uns abgesprochen sind.",0.4025
238.0,244.0,6.0,SPEAKER_04,de,Wegen der Transcription habe ich auch Mario schon mehrere Leads rübergeschickt.,0.4025
244.0,246.0,2.0,SPEAKER_04,de,"Wir hatten es so abgesprochen mit Julian,",0.4025
246.0,249.0,3.0,SPEAKER_04,de,dass Mario die Leads anrufen sei.,0.4025
249.0,251.0,2.0,SPEAKER_04,de,"Und da habe ich auch die Info bekommen,",0.4025
251.0,254.0,3.0,SPEAKER_04,de,"dass es einfach noch nicht geklappt hat mit den Anrufen,",0.4025
254.0,258.0,4.0,SPEAKER_04,de,beziehungsweise er hat angerufen und dass alle nicht reingegangen sind.,0.4025
258.0,262.0,4.0,SPEAKER_04,de,Da gehe ich nächste Woche nochmal durch.,0.4025
262.0,264.0,2.0,SPEAKER_04,de,"Ich habe auch das schon in der Schrift gegeben,",0.3488
264.0,267.0,3.0,SPEAKER_04,de,dass es diese Woche einfach noch nicht geklappt hat.,0.3488
267.0,270.0,3.0,SPEAKER_04,de,Und ich mich dann nächste Woche darum kümmern werde.,0.3488
270.0,276.0,6.0,SPEAKER_04,de,"Perl 900, das ist jetzt wirklich ein,",0.3488
276.0,280.0,4.0,SPEAKER_04,de,"ich denke, ein bis zwei Stunden habe ich diese Woche gemacht,",0.3488
280.0,283.0,3.0,SPEAKER_04,de,"weil ich jetzt auch nicht wirklich die Zeit richtig blocken konnte,",0.3488
283.0,287.0,4.0,SPEAKER_04,de,oder eher gesagt meine Blogs durchgehen konnte wegen dem Plug-ins.,0.3488
287.0,290.0,3.0,SPEAKER_04,de,"Ich habe immer wieder so ein Hoppin' Off,",0.3488
290.0,292.0,2.0,SPEAKER_04,de,also hin und her gemacht.,0.4327
292.0,294.0,2.0,SPEAKER_04,de,"Also wenn ich gerade Leerlaufphase habe,",0.4327
294.0,296.0,2.0,SPEAKER_04,de,dass ich dann einfach reingesprungen bin,0.4327
296.0,299.0,3.0,SPEAKER_04,de,"und ein bisschen an den Videos weitergearbeitet habe,",0.4327
299.0,303.0,4.0,SPEAKER_04,de,"werde ich diese Woche wieder am Wochenende nachgehen müssen,",0.4327
303.0,308.0,5.0,SPEAKER_04,de,damit ich das noch zumindest Oktober durchkriege.,0.4327
